商品名,SKU,段ボールコード,段ボール名,内寸,宅配サイズ,収容数,パレットぴったり,パレット配置,優先度,備考,URL
ヨーグルト種菌1袋セット,,MAS140-070,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（670×390×180mm）5mm A/F 白C5×C5",670×390×180mm,宅配140サイズ,120,○,1段4箱×9段,1,"【パレットぴったり】推定: 約120袋入り（ヨーグルト種菌1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-070
ヨーグルト種菌1袋セット,,MAS140-121,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（614×454×168mm）3mm B/F 白C5×C5",614×454×168mm,宅配140サイズ,120,○,1段4箱×10段,2,"【パレットぴったり】推定: 約120袋入り（ヨーグルト種菌1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-121
ヨーグルト種菌1袋セット,,MA120-302,"【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（530×260×340mm）5mm A/F K5×K5",530×260×340mm,宅配120サイズ,120,○,1段8箱×5段,3,"【パレットぴったり】推定: 約120袋入り（ヨーグルト種菌1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA120-302
甘酒酵素1袋セット,,MAS140-070,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（670×390×180mm）5mm A/F 白C5×C5",670×390×180mm,宅配140サイズ,120,○,1段4箱×9段,1,"【パレットぴったり】推定: 約120袋入り（甘酒酵素1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-070
甘酒酵素1袋セット,,MAS140-121,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（614×454×168mm）3mm B/F 白C5×C5",614×454×168mm,宅配140サイズ,120,○,1段4箱×10段,2,"【パレットぴったり】推定: 約120袋入り（甘酒酵素1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-121
甘酒酵素1袋セット,,MA120-302,"【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（530×260×340mm）5mm A/F K5×K5",530×260×340mm,宅配120サイズ,120,○,1段8箱×5段,3,"【パレットぴったり】推定: 約120袋入り（甘酒酵素1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA120-302
黒ゴマアーモンドきな粉150g×1袋セット,20250126-190B-1,MA140-172,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（644×424×288mm）3mm B/F C5×C5",644×424×288mm,宅配140サイズ,110,○,1段4箱×6段,1,"【パレットぴったり】推定: 約110袋入り（黒ゴマアーモンドきな粉150g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-172
黒ゴマアーモンドきな粉150g×1袋セット,20250126-190B-1,MAS140-075,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（644×424×288mm）3mm B/F 白C5×C5",644×424×288mm,宅配140サイズ,110,○,1段4箱×6段,2,"【パレットぴったり】推定: 約110袋入り（黒ゴマアーモンドきな粉150g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-075
黒ゴマアーモンドきな粉150g×1袋セット,20250126-190B-1,MA140-331,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（560×500×280mm）5mm A/F K6×強化芯180g×K6",560×500×280mm,宅配140サイズ,110,○,1段4箱×6段,3,"【パレットぴったり】推定: 約110袋入り（黒ゴマアーモンドきな粉150g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-331
黒ゴマアーモンドきな粉150g×1袋セット,20250126-190B-1,MA140-183,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（634×414×188mm）8mm W/F C5×C5",634×414×188mm,宅配140サイズ,56,○,1段4箱×8段,4,"【パレットぴったり】推定: 約56袋入り（黒ゴマアーモンドきな粉150g×2袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-183
黒ゴマアーモンドきな粉150g×1袋セット,20250126-190B-1,MA140-268,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（610×450×180mm）5mm A/F K5×K5",610×450×180mm,宅配140サイズ,56,○,1段4箱×9段,5,"【パレットぴったり】推定: 約56袋入り（黒ゴマアーモンドきな粉150g×2袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-268
黒ゴマアーモンドきな粉150g×1袋セット,20250126-190B-1,MAS140-118,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（610×450×180mm）5mm A/F 白C5×C5",610×450×180mm,宅配140サイズ,56,○,1段4箱×9段,6,"【パレットぴったり】推定: 約56袋入り（黒ゴマアーモンドきな粉150g×2袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-118
きな粉150g×1袋セット,20250126-190A-1,MA140-172,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（644×424×288mm）3mm B/F C5×C5",644×424×288mm,宅配140サイズ,120,○,1段4箱×6段,1,"【パレットぴったり】推定: 約120袋入り（きな粉150g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-172
きな粉150g×1袋セット,20250126-190A-1,MAS140-075,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（644×424×288mm）3mm B/F 白C5×C5",644×424×288mm,宅配140サイズ,120,○,1段4箱×6段,2,"【パレットぴったり】推定: 約120袋入り（きな粉150g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-075
きな粉150g×1袋セット,20250126-190A-1,MA140-331,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（560×500×280mm）5mm A/F K6×強化芯180g×K6",560×500×280mm,宅配140サイズ,120,○,1段4箱×6段,3,"【パレットぴったり】推定: 約120袋入り（きな粉150g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-331
きな粉 500g×1袋セット,20250126-90-1,MA140-369,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段6箱×4段］（530×350×430mm）5mm A/F K6×強化芯180g×K6",530×350×430mm,宅配140サイズ,40,○,1段6箱×4段,1,"【パレットぴったり】推定: 約40袋入り（きな粉 500g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-369
きな粉 500g×1袋セット,20250126-90-1,MA140-401,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×3段］（470×290×580mm）5mm A/F K6×強化芯180g×K6",470×290×580mm,宅配140サイズ,40,○,1段8箱×3段,2,"【パレットぴったり】推定: 約40袋入り（きな粉 500g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-401
きな粉 500g×1袋セット,20250126-90-1,MA140-172,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（644×424×288mm）3mm B/F C5×C5",644×424×288mm,宅配140サイズ,40,○,1段4箱×6段,3,"【パレットぴったり】推定: 約40袋入り（きな粉 500g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-172
米の粉 450g×1袋セット,20250829450-1,MA140-369,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段6箱×4段］（530×350×430mm）5mm A/F K6×強化芯180g×K6",530×350×430mm,宅配140サイズ,45,○,1段6箱×4段,1,"【パレットぴったり】推定: 約45袋入り（米の粉 450g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-369
米の粉 450g×1袋セット,20250829450-1,MA140-401,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×3段］（470×290×580mm）5mm A/F K6×強化芯180g×K6",470×290×580mm,宅配140サイズ,45,○,1段8箱×3段,2,"【パレットぴったり】推定: 約45袋入り（米の粉 450g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-401
米の粉 450g×1袋セット,20250829450-1,MA140-172,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（644×424×288mm）3mm B/F C5×C5",644×424×288mm,宅配140サイズ,45,○,1段4箱×6段,3,"【パレットぴったり】推定: 約45袋入り（米の粉 450g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-172
茨城県産べにはるかほしいも1袋セット,20251028-180-1,MA140-332,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（564×504×238mm）3mm B/F C5×C5",564×504×238mm,宅配140サイズ,120,○,1段4箱×7段,1,"【パレットぴったり】推定: 約120袋入り（茨城県産べにはるかほしいも1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-332
茨城県産べにはるかほしいも1袋セット,20251028-180-1,MAS140-151,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（564×504×238mm）3mm B/F 白C5×C5",564×504×238mm,宅配140サイズ,120,○,1段4箱×7段,2,"【パレットぴったり】推定: 約120袋入り（茨城県産べにはるかほしいも1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-151
茨城県産べにはるかほしいも1袋セット,20251028-180-1,MA140-353,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（534×534×238mm）3mm B/F C5×C5",534×534×238mm,宅配140サイズ,120,○,1段4箱×7段,3,"【パレットぴったり】推定: 約120袋入り（茨城県産べにはるかほしいも1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-353
茨城県産べにはるかほしいも3袋セット,20251028-180-3,MA140-148,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（664×384×268mm）8mm W/F C5×C5",664×384×268mm,宅配140サイズ,40,○,1段4箱×6段,1,"【パレットぴったり】推定: 約40袋入り（茨城県産べにはるかほしいも3袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-148
茨城県産べにはるかほしいも3袋セット,20251028-180-3,MA140-332,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（564×504×238mm）3mm B/F C5×C5",564×504×238mm,宅配140サイズ,40,○,1段4箱×7段,2,"【パレットぴったり】推定: 約40袋入り（茨城県産べにはるかほしいも3袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-332
茨城県産べにはるかほしいも3袋セット,20251028-180-3,MAS140-151,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（564×504×238mm）3mm B/F 白C5×C5",564×504×238mm,宅配140サイズ,40,○,1段4箱×7段,3,"【パレットぴったり】推定: 約40袋入り（茨城県産べにはるかほしいも3袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-151
粉黒糖1袋セット,20250928167,MA140-385,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（504×274×438mm）3mm B/F C5×C5",504×274×438mm,宅配140サイズ,80,○,1段8箱×4段,1,"【パレットぴったり】推定: 約80袋入り（粉黒糖1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-385
粉黒糖1袋セット,20250928167,MA140-303,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（594×234×438mm）3mm B/F C5×C5",594×234×438mm,宅配140サイズ,80,○,1段8箱×4段,2,"【パレットぴったり】推定: 約80袋入り（粉黒糖1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-303
粉黒糖1袋セット,20250928167,MAS140-137,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（594×234×438mm）3mm B/F 白C5×C5",594×234×438mm,宅配140サイズ,80,○,1段8箱×4段,3,"【パレットぴったり】推定: 約80袋入り（粉黒糖1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-137
かちわり黒糖1袋セット,20250928-195R,MA140-385,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（504×274×438mm）3mm B/F C5×C5",504×274×438mm,宅配140サイズ,65,○,1段8箱×4段,1,"【パレットぴったり】推定: 約65袋入り（かちわり黒糖1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-385
かちわり黒糖1袋セット,20250928-195R,MA140-303,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（594×234×438mm）3mm B/F C5×C5",594×234×438mm,宅配140サイズ,65,○,1段8箱×4段,2,"【パレットぴったり】推定: 約65袋入り（かちわり黒糖1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-303
かちわり黒糖1袋セット,20250928-195R,MAS140-137,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（594×234×438mm）3mm B/F 白C5×C5",594×234×438mm,宅配140サイズ,65,○,1段8箱×4段,3,"【パレットぴったり】推定: 約65袋入り（かちわり黒糖1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-137